config,fold,n_train,n_test,test_patients,patients_in_both,path_auc,path_accuracy,path_sensitivity,path_specificity,path_brier,path_ece,path_n,path_balanced_accuracy,path_majority_accuracy,dens_accuracy,dens_macro_f1,dens_qwk,dens_n,dens_majority_accuracy
mt_cbam,1,2257,545,286,0,0.7909789413773477,0.6825688073394496,0.7848605577689243,0.5952380952380952,0.2051023550119667,0.1262868272294418,545.0,0.6900493265035097,0.5394495412844037,0.6220183486238532,0.6152016777393419,0.7561907686110987,545.0,0.3486238532110092
mt_cbam,2,2232,570,292,0,0.773330697816772,0.7315789473684211,0.7327586206896551,0.7307692307692307,0.2031631223657719,0.1282889613440554,570.0,0.7317639257294429,0.5929824561403508,0.6456140350877193,0.6225975715191933,0.7399065839145179,570.0,0.3964912280701754
mt_cbam,3,2219,583,296,0,0.783330548327803,0.7015437392795884,0.7159533073929961,0.6901840490797546,0.1986565462432362,0.0933703453029229,583.0,0.7030686782363753,0.5591766723842195,0.7307032590051458,0.7224345414478365,0.8337979094076655,583.0,0.41852487135506
mt_cbam,4,2243,559,294,0,0.7534084441454959,0.6457960644007156,0.7808764940239044,0.5357142857142857,0.2383886771520716,0.1810862088412685,559.0,0.6582953898690951,0.5509838998211091,0.6744186046511628,0.6684766880573632,0.7571783679725668,559.0,0.3899821109123434
mt_cbam,5,2257,545,292,0,0.8201970775369352,0.7376146788990826,0.7462121212121212,0.7295373665480427,0.1778202506026203,0.0822018717330188,545.0,0.7378747438800819,0.5155963302752293,0.6623853211009174,0.6557896060204548,0.7517235769050863,545.0,0.4201834862385321
mt_plain,1,2257,545,286,0,0.7848537821503103,0.7119266055045872,0.7051792828685259,0.717687074829932,0.19473032121101,0.0961901322383125,545.0,0.711433178849229,0.5394495412844037,0.6293577981651376,0.6184472077422944,0.7655228957130913,545.0,0.3486238532110092
mt_plain,2,2232,570,292,0,0.76147724954091,0.6947368421052632,0.728448275862069,0.6715976331360947,0.2141868483358999,0.1379088418035392,570.0,0.7000229544990818,0.5929824561403508,0.6859649122807018,0.6640759277967513,0.7848281209614888,570.0,0.3964912280701754
mt_plain,3,2219,583,296,0,0.7710486739395097,0.7152658662092625,0.6575875486381323,0.7607361963190185,0.2029342323965929,0.1141287095590748,583.0,0.7091618724785753,0.5591766723842195,0.6912521440823327,0.6846381423687108,0.7880565182617969,583.0,0.41852487135506
mt_plain,4,2243,559,294,0,0.7329125058208724,0.6386404293381037,0.7569721115537849,0.5422077922077922,0.2481706207023908,0.1858557264981974,559.0,0.6495899518807886,0.5509838998211091,0.6225402504472272,0.6261254898776907,0.7417839541486191,559.0,0.3899821109123434
mt_plain,5,2257,545,292,0,0.8048366224522807,0.7247706422018348,0.7954545454545454,0.6583629893238434,0.1909982634200068,0.1037469130504979,545.0,0.7269087673891944,0.5155963302752293,0.6311926605504588,0.6123704284160072,0.7142322097378278,545.0,0.4201834862385321
st_path,1,2257,545,286,0,0.7973073691628045,0.6935779816513762,0.7888446215139442,0.6122448979591837,0.1962900985937199,0.1099304910612489,545.0,0.7005447597365639,0.5394495412844037,,,,,
st_path,2,2232,570,292,0,0.7676749642930013,0.6929824561403509,0.6810344827586207,0.7011834319526628,0.2062182915697009,0.1177906703089543,570.0,0.6911089573556417,0.5929824561403508,,,,,
st_path,3,2219,583,296,0,0.7726062877467713,0.6878216123499142,0.5797665369649806,0.7730061349693251,0.207827673133952,0.1281114985563713,583.0,0.6763863359671529,0.5591766723842195,,,,,
st_path,4,2243,559,294,0,0.7328931029130232,0.6601073345259392,0.7171314741035857,0.6136363636363636,0.230003784769397,0.1613423508110461,559.0,0.6653839188699746,0.5509838998211091,,,,,
st_path,5,2257,545,292,0,0.8085908012509436,0.7229357798165138,0.7727272727272727,0.6761565836298933,0.1864310957891797,0.0864162481945315,545.0,0.724441928178583,0.5155963302752293,,,,,
st_dens,1,2257,545,286,0,,,,,,,,,,0.6844036697247706,0.6876359137140239,0.8019066026538779,545.0,0.3486238532110092
st_dens,2,2232,570,292,0,,,,,,,,,,0.6614035087719298,0.6346433394282713,0.7446808510638298,570.0,0.3964912280701754
st_dens,3,2219,583,296,0,,,,,,,,,,0.7169811320754716,0.7012028125296733,0.82810419582807,583.0,0.41852487135506
st_dens,4,2243,559,294,0,,,,,,,,,,0.6618962432915921,0.6627020658220744,0.7661024435034268,559.0,0.3899821109123434
st_dens,5,2257,545,292,0,,,,,,,,,,0.6788990825688074,0.6586600513585728,0.7432811439881418,545.0,0.4201834862385321
