protocol,fold,test_files_whose_original_is_in_train,test_files_whose_patient_is_in_train,n_train,n_test,n_test_originals,file_auc,file_accuracy,file_sensitivity,file_specificity,file_brier,file_ece,file_n,file_balanced_accuracy,original_auc,original_accuracy,original_sensitivity,original_specificity,original_brier,original_ece,original_n,original_balanced_accuracy,density_accuracy,density_macro_f1,density_n,pathology_majority_accuracy,density_majority_accuracy
random,1,1.0,1.0,6105,1527,106,1.0,1.0,1.0,1.0,2.783270452684153e-06,0.0003238918333672,1527,1.0,1.0,1.0,1.0,1.0,5.30338287603268e-07,0.0003144553297999,106,1.0,1.0,1.0,1527,0.6699410609037328,0.4020956123117223
random,2,1.0,1.0,6105,1527,106,1.0,1.0,1.0,1.0,7.950408097993095e-07,0.0002301970509573,1527,1.0,1.0,1.0,1.0,1.0,1.0177560788382193e-07,0.000225750291324,106,1.0,1.0,1.0,1527,0.6699410609037328,0.3948919449901768
random,3,1.0,1.0,6106,1526,106,1.0,1.0,1.0,1.0,5.07995839775895e-07,0.0004409124638855,1526,1.0,1.0,1.0,1.0,1.0,2.8279540414102174e-07,0.0004387115834523,106,1.0,0.9993446920052425,0.9995523291276254,1526,0.6697247706422018,0.3859764089121887
random,4,1.0,1.0,6106,1526,106,1.0,1.0,1.0,1.0,2.227808194568015e-07,0.000267731596354,1526,1.0,1.0,1.0,1.0,1.0,9.415630156551327e-08,0.0002688386228709,106,1.0,1.0,1.0,1526,0.6697247706422018,0.399737876802097
random,5,1.0,1.0,6106,1526,106,1.0,1.0,1.0,1.0,4.7518225203147766e-07,0.0002867386823362,1526,1.0,1.0,1.0,1.0,1.0,1.6820226961883045e-07,0.0002767675579305,106,1.0,1.0,1.0,1526,0.6697247706422018,0.3984272608125819
image,1,0.0,1.0,6120,1512,21,0.8200445816186557,0.8366402116402116,0.9157407407407409,0.6388888888888888,0.1555231223042322,0.1561863503351876,1512,0.7773148148148148,0.8222222222222223,0.8571428571428571,0.9333333333333332,0.6666666666666666,0.134381737547249,0.1443469423553248,21,0.8,0.6798941798941799,0.5971798579776066,1512,0.7142857142857143,0.38095238095238093
image,2,0.0,1.0,6120,1512,21,0.7757670776643992,0.7116402116402116,0.816468253968254,0.501984126984127,0.2590405745783885,0.2527544473082753,1512,0.6592261904761905,0.8061224489795918,0.7619047619047619,0.8571428571428571,0.5714285714285714,0.2025664265797475,0.2436923363892909,21,0.7142857142857142,0.6752645502645502,0.6850165556061707,1512,0.6666666666666666,0.2857142857142857
image,3,0.0,0.9047619047619048,6120,1512,21,0.9003646575261159,0.8928571428571429,0.9807692307692308,0.75,0.0952913450587258,0.0926713250326323,1512,0.8653846153846154,0.9615384615384616,0.9047619047619048,1.0,0.75,0.0687683889015213,0.1086511101543957,21,0.875,0.6190476190476191,0.6440640086562386,1512,0.6190476190476191,0.3333333333333333
image,4,0.0,1.0,6120,1512,21,0.902832433127572,0.8095238095238095,0.7925925925925926,0.8518518518518519,0.1677691483221627,0.1676897073742312,1512,0.8222222222222222,0.9333333333333332,0.8571428571428571,0.8666666666666667,0.8333333333333334,0.1216811890984443,0.1625142221363797,21,0.8500000000000001,0.7572751322751323,0.5422026249416487,1512,0.7142857142857143,0.47619047619047616
image,5,0.0,0.9545454545454546,6048,1584,22,0.9347037932649912,0.8882575757575758,0.9513888888888888,0.7777777777777778,0.1001579703360887,0.0965206195455503,1584,0.8645833333333333,0.9821428571428572,0.9090909090909092,1.0,0.75,0.0667051490666502,0.0834402926608574,22,0.875,0.7140151515151515,0.6231643852179567,1584,0.6363636363636364,0.5
patient,1,0.0,0.0,6264,1368,19,0.8205628123162845,0.6622807017543859,0.9155092592592592,0.2281746031746031,0.3068843919032903,0.3082335246836648,1368,0.5718419312169313,0.8214285714285714,0.631578947368421,0.9166666666666666,0.1428571428571428,0.2655327437682658,0.3082395066953587,19,0.5297619047619048,0.3391812865497076,0.1569634070683629,1368,0.631578947368421,0.47368421052631576
patient,2,0.0,0.0,5976,1656,23,0.648289609053498,0.8013285024154589,0.9104166666666668,0.074074074074074,0.1913797854531522,0.1933660388294196,1656,0.4922453703703703,0.7833333333333333,0.782608695652174,0.9,0.0,0.1747264598951528,0.1967538028356968,23,0.45,0.4915458937198068,0.2638435670250283,1656,0.8695652173913043,0.5217391304347826
patient,3,0.0,0.0,6192,1440,20,0.8199898497207525,0.7361111111111112,0.7876984126984127,0.6157407407407407,0.2513563937335249,0.253185199668168,1440,0.7017195767195767,0.7976190476190476,0.75,0.7857142857142857,0.6666666666666666,0.2187523618926282,0.2582316302182889,20,0.7261904761904762,0.2756944444444444,0.2870615465126777,1440,0.7,0.4
patient,4,0.0,0.0,5832,1800,25,0.7103736894063181,0.67,0.7263071895424836,0.5503472222222222,0.3053126103559516,0.2907916635065744,1800,0.6383272058823529,0.7426470588235294,0.64,0.7058823529411765,0.5,0.2436159989081039,0.2601148707485683,25,0.6029411764705883,0.3633333333333333,0.2549197241869081,1800,0.68,0.24
patient,5,0.0,0.0,6264,1368,19,0.6214729762906847,0.6140350877192983,0.6163194444444444,0.6123737373737373,0.357911936105747,0.3405540393062765,1368,0.6143465909090908,0.625,0.6842105263157895,0.75,0.6363636363636364,0.2896032368047503,0.3302417918483521,19,0.6931818181818181,0.543859649122807,0.4390781152273433,1368,0.42105263157894735,0.3684210526315789
